Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",114.600000,-137.800000,0.000000,bottom
"C2","100n","C_0402_1005Metric",101.500000,-140.300000,180.000000,bottom
"C3","10u","C_0603_1608Metric",117.887000,-122.071500,180.000000,bottom
"C4","100n","C_0402_1005Metric",112.400000,-129.400000,-90.000000,bottom
"C5","4u7","C_0603_1608Metric",111.100000,-131.700000,90.000000,bottom
"C6","100n","C_0402_1005Metric",118.436000,-123.341500,180.000000,bottom
"C7","100n","C_0402_1005Metric",112.350000,-132.250000,90.000000,bottom
"C8","100n","C_0402_1005Metric",110.650000,-118.350000,180.000000,bottom
"C9","47p","C_0402_1005Metric",106.700000,-136.950000,90.000000,bottom
"C10","47p","C_0402_1005Metric",106.700000,-134.450000,-90.000000,bottom
"C11","100n","C_0402_1005Metric",103.850000,-137.800000,0.000000,bottom
"C17","22u","C_0603_1608Metric",98.586500,-123.211500,-90.000000,bottom
"C18","10u","C_0603_1608Metric",97.867500,-120.800500,180.000000,bottom
"C20","22u","C_0603_1608Metric",142.400000,-134.900000,180.000000,bottom
"C21","6.8n","CAP_2220_AVX",164.000000,-128.000000,180.000000,bottom
"C22","6.8n","CAP_2220_AVX",172.400000,-128.100000,-90.000000,bottom
"C23","10u","C_0603_1608Metric",146.500000,-135.000000,0.000000,bottom
"C40","100n","C_0603_1608Metric",164.290000,-121.461000,180.000000,bottom
"C41","100n","C_0402_1005Metric",161.700000,-66.850000,180.000000,bottom
"C42","1u","C_0603_1608Metric",126.150000,-126.350000,-90.000000,bottom
"C43","6.8u","C_0603_1608Metric",123.800000,-136.900000,-90.000000,bottom
"C44","1n","C_0402_1005Metric",166.703000,-118.032000,90.000000,bottom
"C45","1n","C_0402_1005Metric",159.254000,-70.005000,-90.000000,bottom
"C46","100n","C_0603_1608Metric",151.451000,-121.197000,90.000000,bottom
"C47","100n","C_0603_1608Metric",133.450000,-126.500000,-90.000000,bottom
"C48","1n","C_0402_1005Metric",147.895000,-118.657000,180.000000,bottom
"C49","100n","C_0603_1608Metric",133.500000,-137.100000,-90.000000,bottom
"C50","100n","C_0603_1608Metric",133.500000,-115.800000,-90.000000,bottom
"C54","10u","CAPC3225X270N",172.879000,-101.900000,0.000000,bottom
"C55","100n","C_0402_1005Metric",99.020000,-68.850000,180.000000,bottom
"D6","MMSZ5226B-7-F","D_SOD-123",102.300000,-100.600000,90.000000,bottom
"D7","MMSZ5231B-7-F","D_SOD-123",97.800000,-107.800000,180.000000,bottom
"D16","MMSZ5226B-7-F","D_SOD-123",124.200000,-127.200000,-90.000000,bottom
"D17","MMSZ5226B-7-F","D_SOD-123",125.700000,-137.650000,-90.000000,bottom
"D18","MMSZ5226B-7-F","D_SOD-123",127.500000,-133.450000,180.000000,bottom
"D19","MMSZ5226B-7-F","D_SOD-123",127.400000,-144.000000,180.000000,bottom
"D20","MMSZ5226B-7-F","D_SOD-123",127.550000,-112.800000,180.000000,bottom
"D21","MMSZ5226B-7-F","D_SOD-123",125.700000,-119.000000,-90.000000,bottom
"R3","27R","R_0402_1005Metric",108.750000,-136.500000,180.000000,bottom
"R4","27R","R_0402_1005Metric",108.700000,-134.500000,180.000000,bottom
"R10","47k","R_1210_3225Metric",179.600000,-112.200000,90.000000,bottom
"R11","17k","R_1210_3225Metric",182.900000,-112.200000,-90.000000,bottom
"R13","R","R_0805_2012Metric",178.700000,-149.600000,0.000000,bottom
"R14","R","R_0805_2012Metric",178.700000,-152.100000,180.000000,bottom
"R25","28k7","R_0603_1608Metric",128.400000,-123.900000,180.000000,bottom
"R26","10k","R_0603_1608Metric",123.800000,-133.775000,-90.000000,bottom
"R27","4k7","R_0603_1608Metric",125.300000,-123.900000,180.000000,bottom
"R28","1k02","R_0603_1608Metric",122.300000,-135.300000,90.000000,bottom
"R29","47k","R_0805_2012Metric",131.800000,-110.700000,180.000000,bottom
"R30","47k","R_0805_2012Metric",131.812500,-112.800000,0.000000,bottom
"U1","8MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",110.550000,-120.600000,0.000000,bottom
"U2","FT234XD-R","FT234XD-R",112.124999,-135.453000,-90.000000,bottom
"U3","STM32L432KCUx","QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm",116.150000,-127.000000,0.000000,bottom
"U5","AZ1117-3.3","SOT-223-3_TabPin2",103.836500,-123.213500,0.000000,bottom
"U6","AZ1117IH-5.0","SOT-223-3_TabPin2",143.400000,-140.150000,-90.000000,bottom
"U11","ACS723xLCTR-10AU","SOIC-8_3.9x4.9mm_P1.27mm",162.525000,-117.905000,0.000000,bottom
"U12","ACS723xLCTR-10AU","SOIC-8_3.9x4.9mm_P1.27mm",163.699000,-70.104000,180.000000,bottom
"U13","TSV912IDT","SO8_STM",129.800000,-128.450000,90.000000,bottom
"U14","TSV912IDT","SO8_STM",129.800000,-139.100000,90.000000,bottom
"U15","TSV912IDT","SO8_STM",129.850000,-117.800000,90.000000,bottom
"U16","ACS723xLCTR-10AU","SOIC-8_3.9x4.9mm_P1.27mm",147.895000,-122.975000,90.000000,bottom
"C12","10u","C_0603_1608Metric",107.601000,-126.700000,-90.000000,top
"C13","1u","C_0603_1608Metric",106.100000,-126.700000,-90.000000,top
"C14","1u","C_0603_1608Metric",104.553000,-126.700000,-90.000000,top
"C15","100n","C_0402_1005Metric",134.500000,-136.450000,180.000000,top
"C16","100n","C_0402_1005Metric",131.250000,-143.600000,90.000000,top
"C19","100u","CP_Radial_D10.0mm_P5.00mm",179.492323,-76.327000,0.000000,top
"C24","1m","CP_Radial_D12.5mm_P5.00mm",153.000000,-152.323959,90.000000,top
"C25","10u","C_1210_3225Metric",106.503250,-105.173000,0.000000,top
"C26","10u","C_1210_3225Metric",123.915000,-105.187750,0.000000,top
"C27","10u","C_1210_3225Metric",141.650000,-105.200000,0.000000,top
"C28","100n","C_0603_1608Metric",108.650000,-110.300000,-90.000000,top
"C29","100n","C_0603_1608Metric",126.100000,-110.311000,-90.000000,top
"C30","100n","C_0603_1608Metric",143.800000,-110.250000,-90.000000,top
"C31","22u","C_1210_3225Metric",110.325000,-101.700000,180.000000,top
"C32","22u","C_1210_3225Metric",127.736750,-101.714750,180.000000,top
"C33","22u","C_1210_3225Metric",145.213250,-98.613000,180.000000,top
"C34","22u","C_1210_3225Metric",110.325000,-98.358250,180.000000,top
"C35","22u","C_1210_3225Metric",127.725000,-98.500000,180.000000,top
"C36","22u","C_1210_3225Metric",145.225000,-101.827750,180.000000,top
"C37","100u","CP_Elec_6.3x7.7",119.300000,-99.900000,0.000000,top
"C38","100u","CP_Elec_6.3x7.7",136.700000,-99.900000,0.000000,top
"C39","100u","CP_Elec_6.3x7.7",154.242000,-100.049750,0.000000,top
"C51","100n","C_0603_1608Metric",107.187250,-107.573000,0.000000,top
"C52","100n","C_0603_1608Metric",124.671750,-107.587750,0.000000,top
"C53","100n","C_0603_1608Metric",142.300000,-107.650000,0.000000,top
"D1","AMBER","LED_0805_2012Metric",106.840000,-140.187500,90.000000,top
