Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BZ1","Buzzer","MagneticBuzzer_ProSignal_ABT-410-RC",104.498000,-99.314000,0.000000,top
"C1","100n","C_0402_1005Metric",132.080000,-108.331000,-90.000000,top
"C2","100n","C_0402_1005Metric",157.353000,-72.136000,-90.000000,top
"C3","100n","C_0402_1005Metric",137.160000,-73.927000,-90.000000,top
"C4","100n","C_0402_1005Metric",109.982000,-111.658400,90.000000,top
"C5","100n","C_0402_1005Metric",103.124000,-108.585000,180.000000,top
"C6","100n","C_0402_1005Metric",148.463000,-124.587000,180.000000,top
"C7","100n","C_0402_1005Metric",120.523000,-107.950000,0.000000,top
"C8","100n","C_0402_1005Metric",126.746000,-114.046000,-90.000000,top
"C9","10u","C_0603_1608Metric",128.016000,-114.681000,-90.000000,top
"C10","10u","C_0603_1608Metric",132.461000,-112.080000,-90.000000,top
"C11","1u","C_0805_2012Metric",134.366000,-112.268000,-90.000000,top
"C12","1u","C_0805_2012Metric",136.525000,-112.268000,-90.000000,top
"C13","4u7","C_0805_2012Metric",150.622000,-117.729000,0.000000,top
"C14","100n","C_0402_1005Metric",149.098000,-119.253000,180.000000,top
"C15","100n","C_0603_1608Metric",127.508000,-137.922000,0.000000,top
"C16","22u","C_1210_3225Metric",130.048000,-128.778000,180.000000,top
"C17","22u","C_1210_3225Metric",130.048000,-132.080000,180.000000,top
"C18","100n","C_0603_1608Metric",130.252000,-141.732000,-90.000000,top
"C19","47p","C_0603_1608Metric",155.187000,-124.272000,90.000000,top
"C20","100u","CP_Elec_6.3x5.9",114.356500,-141.925000,-90.000000,top
"C21","10u","C_0805_2012Metric",145.923000,-133.223000,90.000000,top
"C22","22u","C_0805_2012Metric",156.845000,-132.715000,-90.000000,top
"C23","10u","C_0805_2012Metric",156.845000,-136.271000,90.000000,top
"C24","22u","C_0805_2012Metric",156.845000,-140.344000,-90.000000,top
"C25","100n","C_0805_2012Metric",106.680000,-138.684000,-90.000000,top
"C26","47p","C_0603_1608Metric",155.187000,-119.446000,-90.000000,top
"C27","100n","C_0402_1005Metric",159.004000,-119.989600,180.000000,top
"C28","10u","C_1210_3225Metric",127.254000,-135.382000,0.000000,top
"C29","100n","C_0402_1005Metric",132.334000,-97.409000,0.000000,top
"C30","100n","C_0402_1005Metric",130.810000,-99.187000,90.000000,top
"C31","100n","C_0603_1608Metric",125.603000,-82.042000,90.000000,top
"C32","2n2","C_0402_1005Metric",106.934000,-132.560000,90.000000,top
"C33","22u","CP_Elec_6.3x5.9",162.687000,-130.048000,0.000000,top
"C34","22u","CP_Elec_6.3x5.9",162.687000,-137.287000,0.000000,top
"C35","100n","C_0402_1005Metric",121.793000,-86.106000,0.000000,top
"D1","GREEN","LED_0805_2012Metric",100.076000,-139.954000,90.000000,top
"D2","BLUE","LED_0805_2012Metric",150.959500,-127.305000,0.000000,top
