Ref,Val,Package,PosX,PosY,Rot,Side
"D2","AM23ESGW","SOT-23-3",170.180000,-137.033000,-90.000000,top
"D3","STPS5045SG-TR","TO-263-2",146.080000,-80.010000,0.000000,top
"D10","AM23ESGW","SOT-23-3",166.624000,-137.033000,-90.000000,top
"D11","AM23ESGW","SOT-23-3",163.068000,-137.033000,-90.000000,top
"J1","STD_PWR_HEADER","STD_PWR_HEADER",180.100000,-141.000000,90.000000,top
"J2","VP0265540000G","CONN_VP0265x4xxxxG_AMP",111.125000,-70.612000,180.000000,top
"J3","VP0265540000G","CONN_VP0265x4xxxxG_AMP",175.641000,-125.730000,90.000000,top
"J4","VP0265540000G","CONN_VP0265x4xxxxG_AMP",123.825000,-135.001000,0.000000,top
"J5","VP0265540000G","CONN_VP0265x4xxxxG_AMP",176.931600,-70.739101,180.000000,top
"J6","SWD_HEADER","PinSocket_1x04_P2.54mm_Vertical",143.383000,-134.620000,90.000000,top
"J7","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",190.500000,-137.922000,90.000000,top
"J8","Conn_02x14_Top_Bottom","PinSocket_2x14_P2.54mm_Vertical",119.390000,-128.270000,90.000000,top
"J9","DE9_Receptacle_MountingHoles","DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm",163.310000,-141.559000,0.000000,top
"J10","STD_PWR_HEADER","STD_PWR_HEADER",94.567000,-76.278000,180.000000,top
"K1","HE1AN-P-DC12V-Y5","HE1AN-P-DC12V-Y5",137.795000,-106.805000,-90.000000,top
"K2","HE1AN-P-DC12V-Y5","HE1AN-P-DC12V-Y5",172.650000,-88.900000,0.000000,top
"K3","J115F11CH12VDCS61.5","J115F11CH12VDCS61.5",110.800000,-117.100000,0.000000,top
"K4","J115F11CH12VDCS61.5","J115F11CH12VDCS61.5",112.400000,-83.840000,0.000000,top
"R34","120","R_0603_1608Metric",156.019000,-138.176000,180.000000,top
"U1","ACS770LCB-050U-PFF","Allegro_CB_PFF_Adjusted",127.249000,-55.485000,180.000000,top
"U2","ACS770LCB-050B-PFF","Allegro_CB_PFF_Adjusted",160.660000,-133.745000,0.000000,top
"U6","ACS770LCB-050U-PFF","Allegro_CB_PFF_Adjusted",134.225000,-61.600000,-90.000000,top
