Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C17, C2, C4, C9",0402,7,100n,
"C15, C16",0402,2,47p,
C3,0603,1,22u,
C5,0603,1,10u,
C6,0603,1,1u,
C7,0402,1,1u,
C8,0402,1,10n,
CR1,SOT323-3L_STM,1,ESDCAN03-2BWY,
D1,ESDA8P801U1M,1,ESDA7P120-1U1M,
D2,SOT23-6L,1,USBLC6-2SC6,USBLC6-2SC6
D3,0402,1,RED,
D4,DIOM5436X265N,1,SMLVT3V3,
FB1,0603,1,120R,
IC1,SOT65P210X110-5N,1,ESDALC6V1W5,
J1,PinHeader_1x3_P2.54mm_Drill1.02mm,1,0022232031,0022232031
J2,USB_Micro-B_Amphenol_10104110_Horizontal,1,USB_B_Micro,
J3,TAOGLAS_EMPCB.SMAFSTJ.B.HT,1,Conn_Coaxial,
J4,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
JP1,PinHeader_1x03_P1.27mm_Vertical,1,Jumper_3_Bridged12,
R1,0402,1,1k5,
R2,0805,1,10k,
SW1,SMD_025816_WRE,1,RESET,
SW2,SW_SPDT_PCM12,1,BOOT0,
U2,KVU3_TEX,1,TLV2217-33KVURG3,
U3,QFN24_4X4_SEM,1,SX1280IMLTRT,
U4,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,1,MCP2542WFDxMF (CAN),
U5,DFN-12-1EP_3x3mm,1,FT234XD-R,FT234XD-R
U6,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32L442KCU6,
