Designator,Mid X,Mid Y,Rotation,Layer
C1,60.833,-115.189,180.0,top
C10,54.003,-101.799,0.0,top
C11,59.817,-99.005,270.0,top
C12,77.626,-103.021,0.0,top
C13,77.626,-104.991,0.0,top
C14,58.039,-103.251,0.0,top
C15,50.673,-113.475,180.0,top
C2,56.121,-106.553,0.0,top
C3,45.466,-110.49,0.0,top
C4,52.578,-109.4285,180.0,top
C5,56.248,-105.029,0.0,top
C6,64.897,-107.251,270.0,top
C7,68.199,-107.251,270.0,top
C8,63.373,-107.251,270.0,top
C9,41.389,-108.458,180.0,top
CR1,41.275,-113.792,180.0,top
D1,57.023,-101.799,0.0,top
D2,45.847,-117.602,270.0,top
D3,51.562,-98.933,90.0,top
D4,65.405,-118.237,0.0,top
FB1,66.675,-107.251,270.0,top
IC1,59.69,-118.237,180.0,top
J1,35.306,-116.205,180.0,top
J2,42.164,-125.73,0.0,top
J3,88.646,-110.998,90.0,top
J4,52.197,-122.428,90.0,top
R1,55.753,-103.323,0.0,top
R2,59.55,-105.029,180.0,top
R3,80.516,-103.031,0.0,top
SW1,56.007,-99.005,0.0,top
SW2,65.405,-98.933,180.0,top
U1,58.547,-111.372,180.0,top
U2,41.275,-99.96805,0.0,top
U3,69.449,-111.3155,0.0,top
U4,46.7425,-113.63,180.0,top
U5,48.913,-106.908,0.0,top
Y1,79.241,-99.811,0.0,top
